Customer ID,Recency,Frequency,Monetary,Group
12346.0,325,3,169.36,Old Infrequent
12347.0,1,8,4921.53,Top Customers
12348.0,74,5,2019.4,Old Top Customers
12349.0,18,4,4404.54,New Customers
12350.0,309,1,334.4,Old Infrequent
12351.0,374,1,300.93,Old Infrequent
12352.0,35,9,1889.21,Old Top Customers
12353.0,203,2,406.76,Old Infrequent
12354.0,231,1,1079.4,Old Infrequent
12355.0,213,2,947.61,Old Infrequent
12356.0,22,6,6371.73,Top Customers
12357.0,32,3,18287.66,Old Top Customers
12358.0,1,5,3887.07,Top Customers
12359.0,7,10,8652.34,Top Customers
12360.0,51,8,4212.89,Old Top Customers
12361.0,286,4,511.25,Old Infrequent
12362.0,2,11,5284.58,Top Customers
12363.0,109,2,552.0,Old Infrequent
12364.0,7,4,1313.1,Top Customers
12365.0,290,1,320.69,Old Infrequent
12366.0,633,1,500.24,Old Infrequent
12367.0,3,1,168.9,New Customers
12368.0,627,1,917.7,Old Infrequent
12369.0,412,3,1791.15,Old Infrequent
12370.0,50,7,4276.56,Old Top Customers
12371.0,44,5,4052.53,Old Top Customers
12372.0,71,3,1298.04,Old Top Customers
12373.0,310,3,1127.65,Old Infrequent
12374.0,24,4,2989.22,New Customers
12375.0,2,2,455.42,New Customers
12376.0,389,2,503.15,Old Infrequent
12377.0,314,4,3426.32,Old Top Customers
12378.0,129,2,5416.32,Old Top Customers
12379.0,81,4,1618.27,Old Top Customers
12380.0,21,10,7888.0,Top Customers
12381.0,4,5,1803.96,Top Customers
12383.0,184,5,1839.31,Old Top Customers
12384.0,28,2,566.16,New Customers
12385.0,378,1,1923.4,Old Infrequent
12386.0,337,2,401.9,Old Infrequent
12387.0,414,1,143.94,Old Infrequent
12388.0,15,8,3901.11,Top Customers
12389.0,402,3,1433.33,Old Infrequent
12390.0,79,1,549.84,New Customers
12391.0,21,6,2699.24,New Customers
12392.0,590,1,234.75,Old Infrequent
12393.0,71,6,2376.75,Old Top Customers
12394.0,63,2,1272.48,New Customers
12395.0,15,15,4700.82,Top Customers
12396.0,673,1,931.43,Old Infrequent
12397.0,35,2,2409.9,New Customers
12398.0,45,1,1635.66,New Customers
12399.0,118,7,1962.3,Old Top Customers
12400.0,413,1,205.25,Old Infrequent
12401.0,302,1,84.3,Old Infrequent
12402.0,322,6,1244.15,Old Top Customers
12403.0,49,2,1001.36,New Customers
12405.0,148,1,1710.39,Old Infrequent
12406.0,21,5,6072.21,Top Customers
12407.0,49,5,1708.12,Old Top Customers
12408.0,32,8,4279.64,Old Top Customers
12409.0,78,7,23090.47,Old Top Customers
12410.0,300,3,1001.46,Old Infrequent
12411.0,409,1,346.9,Old Infrequent
12412.0,74,6,2581.03,Old Top Customers
12413.0,66,4,935.5,Old Top Customers
12414.0,216,4,562.41,Old Top Customers
12415.0,23,25,143194.29,Top Customers
12416.0,656,1,202.56,Old Infrequent
12417.0,2,20,6688.71,Top Customers
12418.0,112,4,2016.95,Old Top Customers
12419.0,385,2,503.01,Old Infrequent
12420.0,63,1,600.39,New Customers
12421.0,15,6,1093.6,New Customers
12422.0,95,15,4119.35,Old Top Customers
12423.0,0,10,2612.19,Top Customers
12424.0,162,4,3289.78,Old Top Customers
12425.0,77,2,1680.81,New Customers
12426.0,194,2,1311.41,Old Infrequent
12427.0,11,3,708.37,New Customers
12428.0,25,8,7341.0,Top Customers
12429.0,8,8,6154.01,Top Customers
12430.0,42,1,256.4,New Customers
12431.0,35,27,10237.16,Top Customers
12432.0,42,5,5042.32,Old Top Customers
12433.0,0,10,16794.14,Top Customers
12434.0,84,3,1062.48,Old Top Customers
12435.0,79,6,13925.93,Old Top Customers
12436.0,99,1,509.01,Old Infrequent
12437.0,1,39,12436.3,Top Customers
12438.0,13,2,2906.85,New Customers
12439.0,682,2,1089.18,Old Infrequent
12440.0,456,2,768.15,Old Infrequent
12441.0,366,1,173.55,Old Infrequent
12442.0,2,1,172.06,New Customers
12443.0,731,1,485.31,Old Infrequent
12444.0,20,5,5005.46,Top Customers
12445.0,21,2,426.48,New Customers
12446.0,57,1,1002.31,New Customers
12447.0,242,1,476.49,Old Infrequent
12448.0,43,1,449.45,New Customers
12449.0,21,6,4835.89,Top Customers
12450.0,155,5,666.95,Old Top Customers
12451.0,10,8,12546.53,Top Customers
12452.0,16,2,428.57,New Customers
12453.0,133,1,707.09,Old Infrequent
12454.0,52,5,4318.96,Old Top Customers
12455.0,72,10,5879.95,Old Top Customers
12456.0,43,3,3153.89,New Customers
12457.0,57,8,2472.31,Old Top Customers
12458.0,70,4,1777.49,Old Top Customers
12459.0,604,1,454.36,Old Infrequent
12460.0,455,1,326.65,Old Infrequent
12461.0,93,2,826.88,New Customers
12462.0,1,2,1124.01,Top Customers
12463.0,45,4,1303.63,New Customers
12464.0,9,8,1212.05,Top Customers
12465.0,7,2,733.89,New Customers
12468.0,142,5,3624.55,Old Top Customers
12469.0,522,2,3070.54,Old Infrequent
12470.0,689,1,211.95,Old Infrequent
12471.0,1,74,36807.28,Top Customers
12472.0,30,19,15447.69,Top Customers
12473.0,53,3,2797.27,Old Top Customers
12474.0,16,31,11943.76,Top Customers
12475.0,53,2,1149.64,New Customers
12476.0,0,23,13696.57,Top Customers
12477.0,22,9,20173.64,Top Customers
12478.0,3,1,680.99,New Customers
12479.0,3,1,477.3,New Customers
12480.0,27,7,5435.1,Old Top Customers
12481.0,22,15,12002.15,Top Customers
12482.0,575,16,11401.61,Old Top Customers
12483.0,16,19,4823.47,Top Customers
12484.0,32,12,6287.8,Old Top Customers
12485.0,528,1,708.1,Old Infrequent
12486.0,431,1,1037.28,Old Infrequent
12487.0,730,1,259.8,Old Infrequent
12488.0,9,3,1298.66,New Customers
12489.0,335,1,334.93,Old Infrequent
12490.0,4,21,9818.64,Top Customers
12491.0,38,1,460.4,New Customers
12492.0,62,3,715.21,New Customers
12493.0,165,2,416.79,Old Infrequent
12494.0,9,9,1685.92,Top Customers
12495.0,634,1,323.4,Old Infrequent
12496.0,619,2,45.34,Old Infrequent
12497.0,81,3,6248.5,Old Top Customers
12498.0,20,3,403.7,New Customers
12499.0,559,1,393.72,Old Infrequent
12500.0,22,19,5872.31,Top Customers
12501.0,314,1,2089.68,Old Infrequent
12502.0,95,5,3723.87,Old Top Customers
12503.0,583,1,1126.0,Old Infrequent
12504.0,17,4,411.0,New Customers
12505.0,392,1,912.5,Old Infrequent
12506.0,232,1,73.5,Old Infrequent
12507.0,133,4,1797.31,Old Top Customers
12508.0,25,2,397.88,New Customers
12509.0,283,1,176.5,Old Infrequent
12510.0,142,7,3353.33,Old Top Customers
12511.0,414,1,3065.77,Old Infrequent
12512.0,65,2,132.18,New Customers
12513.0,84,1,586.79,New Customers
12514.0,266,2,1597.76,Old Infrequent
12515.0,352,1,383.7,Old Infrequent
12516.0,77,4,2648.62,Old Top Customers
12517.0,27,5,2443.65,New Customers
12518.0,0,5,2056.89,Top Customers
12519.0,63,2,685.19,New Customers
12520.0,78,5,2582.51,Old Top Customers
12521.0,142,1,599.68,Old Infrequent
12522.0,38,2,192.72,New Customers
12523.0,1,23,4201.05,Top Customers
12524.0,8,16,10965.36,Top Customers
12525.0,490,3,835.18,Old Infrequent
12526.0,0,3,1316.66,Top Customers
12527.0,81,5,735.51,Old Top Customers
12528.0,8,6,1922.28,Top Customers
12529.0,522,1,311.78,Old Infrequent
12530.0,59,9,3689.86,Old Top Customers
12531.0,14,2,1899.05,New Customers
12532.0,29,1,349.83,New Customers
12533.0,618,2,1149.99,Old Infrequent
12534.0,130,1,1089.18,Old Infrequent
12535.0,91,2,716.35,New Customers
12536.0,7,1,4151.26,New Customers
12537.0,408,1,732.94,Old Infrequent
12538.0,28,2,640.45,New Customers
12539.0,21,7,8648.92,Top Customers
12540.0,19,32,22051.29,Top Customers
12541.0,29,3,981.18,New Customers
12542.0,483,2,423.38,Old Infrequent
12543.0,447,1,980.25,Old Infrequent
12544.0,29,1,355.7,New Customers
12545.0,74,2,1000.39,New Customers
12546.0,46,2,1141.5,New Customers
12547.0,197,3,383.58,Old Infrequent
12548.0,165,1,95.2,Old Infrequent
12549.0,575,6,1575.68,Old Top Customers
12550.0,78,1,964.83,New Customers
12551.0,357,1,168.0,Old Infrequent
12552.0,38,2,437.82,New Customers
12553.0,7,12,4548.82,Top Customers
12554.0,448,1,468.5,Old Infrequent
12556.0,49,2,599.56,New Customers
12557.0,15,8,18096.14,Top Customers
12559.0,310,2,536.21,Old Infrequent
12560.0,4,3,2101.39,Top Customers
12561.0,302,1,238.85,Old Infrequent
12562.0,7,9,4966.92,Top Customers
12563.0,408,1,249.24,Old Infrequent
12564.0,260,1,456.9,Old Infrequent
12565.0,281,1,131.17,Old Infrequent
12566.0,72,1,346.7,New Customers
12567.0,22,14,11165.1,Top Customers
12568.0,644,1,70.0,Old Infrequent
12569.0,1,32,4028.99,Top Customers
12571.0,39,2,519.61,New Customers
12572.0,8,2,1004.72,New Customers
12573.0,226,5,717.41,Old Top Customers
12574.0,315,1,218.45,Old Infrequent
12575.0,456,2,622.82,Old Infrequent
12576.0,35,8,2083.87,Old Top Customers
12577.0,34,8,1548.25,Old Top Customers
12578.0,20,4,4572.45,New Customers
12579.0,72,1,410.72,New Customers
12580.0,246,2,1052.9,Old Infrequent
12581.0,39,1,197.71,New Customers
12582.0,238,4,1980.4,Old Top Customers
12583.0,2,27,13489.04,Top Customers
12584.0,3,9,1893.95,Top Customers
12585.0,233,2,1982.81,Old Infrequent
12586.0,16,4,2045.67,New Customers
12587.0,7,1,144.0,New Customers
12588.0,38,4,938.98,New Customers
12589.0,28,7,2592.68,Old Top Customers
12590.0,189,2,9853.48,Old Top Customers
12591.0,316,3,1338.95,Old Infrequent
12592.0,91,3,1152.62,Old Top Customers
12593.0,108,3,418.1,Old Top Customers
12594.0,37,15,5044.51,Old Top Customers
12595.0,504,1,299.02,Old Infrequent
12596.0,50,2,618.27,New Customers
12597.0,18,4,3683.13,New Customers
12598.0,9,11,4414.67,Top Customers
12599.0,28,13,2296.72,Top Customers
12600.0,28,20,4902.6,Top Customers
12601.0,189,6,673.76,Old Top Customers
12602.0,58,1,153.12,New Customers
12603.0,21,1,739.2,New Customers
12604.0,78,2,254.18,New Customers
12605.0,364,4,1225.45,Old Infrequent
12608.0,404,1,415.79,Old Infrequent
12609.0,77,9,3417.86,Old Top Customers
12610.0,22,5,2057.99,New Customers
12611.0,51,1,1193.32,New Customers
12612.0,57,1,643.59,New Customers
12613.0,30,10,6535.32,Old Top Customers
12614.0,277,1,315.6,Old Infrequent
12615.0,1,8,5564.88,Top Customers
12616.0,84,3,1045.35,Old Top Customers
12617.0,28,1,352.98,New Customers
12618.0,21,1,177.31,New Customers
12619.0,15,9,3354.95,Top Customers
12620.0,14,3,1339.41,New Customers
12621.0,1,35,24114.7,Top Customers
12622.0,231,1,180.1,Old Infrequent
12623.0,275,7,3639.84,Old Top Customers
12624.0,105,2,641.13,Old Infrequent
12625.0,211,4,5095.38,Old Top Customers
12626.0,22,9,6388.35,Top Customers
12627.0,10,7,4478.53,Top Customers
12628.0,3,3,769.61,New Customers
12629.0,385,2,1558.22,Old Infrequent
12630.0,9,2,1270.88,New Customers
12631.0,56,6,3452.27,Old Top Customers
12632.0,520,2,738.88,Old Infrequent
12633.0,58,7,5595.21,Old Top Customers
12634.0,535,2,490.0,Old Infrequent
12635.0,89,4,2930.41,Old Top Customers
12636.0,738,1,141.0,Old Infrequent
12637.0,66,12,8215.16,Old Top Customers
12638.0,32,2,921.49,New Customers
12639.0,238,3,1312.37,Old Infrequent
12640.0,23,3,1174.58,New Customers
12641.0,114,1,185.9,Old Infrequent
12642.0,24,3,1013.26,New Customers
12643.0,127,12,7835.3,Old Top Customers
12644.0,129,4,1815.54,Old Top Customers
12645.0,33,8,3499.1,Old Top Customers
12646.0,4,2,1346.97,New Customers
12647.0,21,36,16729.74,Top Customers
12648.0,154,4,1097.0,Old Top Customers
12649.0,106,8,2258.5,Old Top Customers
12650.0,2,1,314.44,New Customers
12651.0,334,4,365.3,Old Infrequent
12652.0,321,2,1011.58,Old Infrequent
12653.0,148,3,4160.83,Old Top Customers
12654.0,10,5,601.98,New Customers
12655.0,423,1,261.35,Old Infrequent
12656.0,16,8,6320.78,Top Customers
12657.0,10,3,660.94,New Customers
12658.0,18,1,686.05,New Customers
12659.0,29,1,91.68,New Customers
12660.0,10,1,245.1,New Customers
12661.0,435,1,162.0,Old Infrequent
12662.0,0,20,6687.69,Top Customers
12663.0,624,2,204.0,Old Infrequent
12664.0,7,11,6052.04,Top Customers
12665.0,324,3,301.45,Old Infrequent
12666.0,358,1,1020.98,Old Infrequent
12667.0,57,1,620.13,New Customers
12668.0,6,10,11319.06,Top Customers
12669.0,150,2,1607.73,Old Infrequent
12670.0,9,7,3750.39,Top Customers
12671.0,605,1,2622.48,Old Infrequent
12672.0,329,2,410.5,Old Infrequent
12673.0,4,3,1230.02,New Customers
12674.0,11,4,1922.26,New Customers
12675.0,553,2,933.55,Old Infrequent
12676.0,24,11,2773.09,Top Customers
12677.0,554,2,389.3,Old Infrequent
12678.0,41,21,33851.13,Top Customers
12679.0,51,4,1059.73,Old Top Customers
12680.0,0,4,880.81,Top Customers
12681.0,14,45,29518.24,Top Customers
12682.0,3,52,22844.12,Top Customers
12683.0,3,21,11335.72,Top Customers
12684.0,7,6,2253.63,Top Customers
12685.0,27,6,2863.08,Old Top Customers
12686.0,371,1,89.14,Old Infrequent
12687.0,480,2,2138.91,Old Infrequent
12688.0,113,1,4873.81,Old Infrequent
12689.0,25,2,1247.61,New Customers
12690.0,205,1,389.01,Old Infrequent
12691.0,27,7,1170.4,Old Top Customers
12692.0,636,1,110.95,Old Infrequent
12693.0,120,7,1640.42,Old Top Customers
12694.0,69,3,1839.45,Old Top Customers
12695.0,6,7,1407.12,Top Customers
12696.0,434,2,851.91,Old Infrequent
12697.0,20,3,939.02,New Customers
12698.0,589,1,339.75,Old Infrequent
12699.0,417,1,638.11,Old Infrequent
12700.0,7,4,4867.99,Top Customers
12701.0,79,6,2446.41,Old Top Customers
12702.0,19,1,219.0,New Customers
12703.0,63,4,892.18,Old Top Customers
12704.0,6,8,2220.84,Top Customers
12705.0,14,14,11518.0,Top Customers
12707.0,291,1,603.42,Old Infrequent
12708.0,29,18,4921.72,Top Customers
12709.0,2,33,29428.1,Top Customers
12710.0,96,3,1130.57,Old Top Customers
12711.0,611,2,1339.05,Old Infrequent
12712.0,22,21,6521.78,Top Customers
12713.0,0,1,848.55,New Customers
12714.0,8,12,14103.01,Top Customers
12715.0,105,1,343.36,Old Infrequent
12716.0,3,2,1053.49,New Customers
12717.0,150,3,1258.91,Old Top Customers
12718.0,70,1,238.25,New Customers
12719.0,4,2,608.1,New Customers
12720.0,2,30,7574.49,Top Customers
12721.0,31,8,3933.83,Old Top Customers
12722.0,84,4,904.33,Old Top Customers
12723.0,3,5,725.07,Top Customers
12724.0,4,7,2317.52,Top Customers
12725.0,370,4,2266.76,Old Top Customers
12726.0,27,11,4014.6,Top Customers
12727.0,10,10,5646.53,Top Customers
12728.0,70,5,1070.17,Old Top Customers
12729.0,113,1,453.01,Old Infrequent
12730.0,521,1,829.25,Old Infrequent
12731.0,23,17,25673.21,Top Customers
12732.0,179,1,236.26,Old Infrequent
12733.0,233,4,2325.97,Old Top Customers
12734.0,352,3,639.65,Old Infrequent
12735.0,314,2,779.57,Old Infrequent
12736.0,332,1,234.0,Old Infrequent
